,gid,pre,경도,위도
0,다사584438,0.6012636836706721,127.02997004239266,37.49296881902994
1,다사583441,0.332130390003666,127.02882185064576,37.49566832388762
2,다사580448,0.236570166418379,127.02538818511928,37.50196409026068
3,다사591477,0.210703993196931,127.03767171210986,37.52815214858733
4,다사590447,0.156494827624457,127.0367071616902,37.50110766635886
5,다사575464,0.1501989183554969,127.01963908388844,37.51636256373352
6,다사568455,0.12006513468092,127.01177104353448,37.50821809616093
7,다사607455,0.112836513720808,127.0558970680559,37.50839223988349
8,다사578453,0.110502854381051,127.02309684055746,37.5064616512686
9,다사594430,0.107617721705993,127.04132619264428,37.48580256959978
10,다사608468,0.101312388000304,127.05695924779216,37.52011387557032
11,다사598429,0.0979863885725167,127.0458560438511,37.48491870737087
12,다사580413,0.0928295792210367,127.0255877182275,37.47041726758668
13,다사595463,0.0899526943938091,127.04227575670988,37.515551100848086
14,다사545441,0.0862015900483734,126.98583472633526,37.49548904936643
15,다사562459,0.083215889648204,127.00495864856704,37.5117951674928
16,다사597472,0.0827020381487294,127.0444895410296,37.52367186535516
17,다사576450,0.080125548265427,127.02085130919922,37.503748490973045
18,다사580407,0.0791884756838049,127.02562189268264,37.46500922379652
19,다사554425,0.0775884018890196,126.99611273121066,37.48111158664136
20,다사579451,0.0767568662990994,127.0242396876628,37.50466354440251
21,다사610438,0.0728419215785076,127.0593814432368,37.49308217573418
22,다사585436,0.0689831435332746,127.03111251631128,37.49117063904867
23,다사542430,0.0680426691879913,126.98250942788418,37.48555958615135
24,다사580447,0.0656348745192583,127.025393890383,37.501062754826215
25,다사551454,0.0652096145261127,126.99254284645636,37.5072356989858
26,다사598420,0.0636659268868139,127.04590513793433,37.4768066364599
27,다사580441,0.0631782347692071,127.02542811662909,37.49565473930858
28,다사585477,0.0625180953283594,127.0308812954876,37.52812537069478
29,다사592441,0.0615313780380519,127.03900306625074,37.49570849269787
