,gid,아침총승객수
1,다사540449,33726
2,다사541420,492382
3,다사542431,255165
4,다사546448,15873
5,다사548406,7920
6,다사552432,68725
7,다사554450,18253
8,다사555425,87392
9,다사562451,207342
10,다사564437,71313
11,다사568455,27337
12,다사568460,40646
13,다사570438,126061
14,다사571451,27332
15,다사572429,100742
16,다사576464,45859
17,다사577458,40566
18,다사580451,113017
19,다사582444,157791
20,다사583475,63004
21,다사586462,33727
22,다사588429,122231
23,다사588454,23507
24,다사590447,65723
25,다사594465,54109
26,다사594476,21587
27,다사596458,48804
28,다사599431,54996
29,다사601451,105344
30,다사604442,63717
31,다사604460,18232
32,다사605467,39833
33,다사607436,61976
34,다사610431,11049
35,다사611461,30323
36,다사613440,70371
37,다사613455,58762
38,다사616434,25780
39,다사620442,12192
40,다사622436,28273
41,다사628439,82488
42,다사632428,64730
43,다사650429,196749
